10 3879
990 says 5
991 acting 4
992 drugs 1
993 write 5
994 actors 2
995 aren't 6
996 intellectual 5
997 again 15
998 sexist 1
999 illegal 6
1000 programs 2
1001 oligarchs 2
1002 genetic 3
1003 experiences 5
1004 options 2
1005 healthy 4
1006 am 11
1007 civilian 5
1008 invented 2
1009 guy 7
1010 stating 1
1011 single 10
1012 true 6
1013 hard 12
1014 correctness 2
1015 branch 1
1016 compete 2
1017 factual 1
1018 cognitive 3
1019 delivery 2
1020 organization 6
1021 syria 5
1022 anything 22
1023 obstruction 5
1024 word 11
1025 york 6
1026 follows 2
1027 realistic 1
1028 available 3
1029 indeed 8
1030 speaks 1
1031 owners 1
1032 i'm 17
1033 recommendation 1
1034 realize 6
1035 effort 7
1036 black 6
1037 politician 7
1038 enter 2
1039 believe 29
1040 far 11
1041 reminds 2
1042 keeps 2
1043 three 3
1044 remarkable 1
1045 powerful 5
1046 significant 5
1047 fourth 2
1048 forgive 1
1049 recently 6
1050 forced 1
1051 bush 5
1052 through 28
1053 you're 15
1054 democratic 19
1055 progressive 12
1056 year 12
1057 arrogant 2
1058 do 22
1059 shame 4
1060 ethics 6
1061 country's 1
1062 century 9
1063 retired 2
1064 speech 11
1065 damaging 2
1066 statements 4
1067 earth 2
1068 barack 4
1069 accusations 4
1070 high 9
1071 below 1
1072 construction 1
1073 stock 4
1074 press 7
1075 cost 8
1076 avoid 1
1077 identity 1
1078 photo 4
1079 denying 3
1080 meeting 5
1081 rejected 2
1082 payments 2
1083 handle 1
1084 controversial 1
1085 reporter 2
1086 distinction 1
1087 homeless 2
1088 short 12
1089 addressing 3
1090 ones 1
1091 entitled 4
1092 seriously 8
1093 flynn 6
1094 physical 4
1095 attacks 8
1096 promises 7
1097 won't 7
1098 changing 1
1099 ignore 3
1100 feel 4
1101 congressional 19
1102 representatives 6
1103 israel 8
1104 percent 5
1105 fantasies 2
1106 unable 4
1107 ironically 4
1108 though 7
1109 permanent 2
1110 getting 14
1111 piece 10
1112 judgment 5
1113 impossible 4
1114 economy 17
1115 markets 1
1116 bannon 6
1117 leverage 2
1118 staff 2
1119 deranged 1
1120 letting 1
1121 well 20
1122 assange 1
1123 pretending 3
1124 opinion 5
1125 regulation 3
1126 friends 8
1127 puzzle 4
1128 union 3
1129 health 18
1130 theater 2
1131 michael 5
1132 threats 2
1133 grandparents 3
1134 remain 4
1135 working 15
1136 crimes 6
1137 resigned 2
1138 nice 4
1139 bit 1
1140 desperately 4
1141 reason 12
1142 greatest 5
1143 girl 2
1144 committee 7
1145 note 3
1146 opposed 3
1147 salaries 2
1148 influenced 2
1149 breitbart 2
